Our	Backing-B
daughter	Backing-I
barely	Backing-I
made	Backing-I
the	Backing-I
age	Backing-I
cut-off	Backing-I
for	Backing-I
kindergarten	Backing-I
(	Backing-I
late	Backing-I
summer	Backing-I
birthday	Backing-I
)	Backing-I
,	Backing-I
but	Backing-I
against	Backing-I
our	Backing-I
better	Backing-I
judgement	Backing-I
we	Backing-I
started	Backing-I
her	Backing-I
anyway	Backing-I
.	Backing-I
A	Backing-I
couple	Backing-I
years	Backing-I
later	Backing-I
she	Backing-I
continued	Backing-I
to	Backing-I
struggle	Backing-I
behind	Backing-I
her	Backing-I
classmates	Backing-I
.	Backing-I
She	Backing-I
is	Backing-I
repeating	Backing-I
3rd	Backing-I
grade	Backing-I
this	Backing-I
year	Backing-I
and	Backing-I
is	Backing-I
having	Backing-I
a	Backing-I
much	Backing-I
better	Backing-I
time	Backing-I
of	Backing-I
it	Backing-I
,	Backing-I
not	Backing-I
just	Backing-I
academically	Backing-I
,	Backing-I
but	Backing-I
also	Backing-I
socially	Backing-I
.	Backing-I
The	Claim-B
school	Claim-I
was	Claim-I
reluctant	Claim-I
to	Claim-I
retain	Claim-I
her	Claim-I
and	Claim-I
told	Claim-I
us	Claim-I
this	Claim-I
was	Claim-I
rarely	Claim-I
done	Claim-I
,	Claim-I
but	Claim-I
we	Claim-I
know	Claim-I
this	Claim-I
was	Claim-I
the	Claim-I
best	Claim-I
decision	Claim-I
we	Claim-I
ever	Claim-I
could	Claim-I
have	Claim-I
made	Claim-I
.	Claim-I
She	O
will	O
still	O
only	O
be	O
18	O
when	O
she	O
graduates	O
from	O
high	O
school	O
.	O
