With	Claim-B
a	Claim-I
plethora	Claim-I
of	Claim-I
drugs	Claim-I
and	Claim-I
gang	Claim-I
problems	Claim-I
,	Claim-I
public	Claim-I
schools	Claim-I
are	Claim-I
the	Claim-I
LAST	Claim-I
place	Claim-I
I	Claim-I
would	Claim-I
send	Claim-I
my	Claim-I
child	Claim-I
!	Claim-I
No	O
amount	O
of	O
parent	O
involvement	O
is	O
going	O
to	O
solve	O
those	O
problems	O
.	O
We	Premise-B
have	Premise-I
a	Premise-I
local	Premise-I
private	Premise-I
High	Premise-I
school	Premise-I
who	Premise-I
turns	Premise-I
out	Premise-I
bright	Premise-I
talented	Premise-I
young	Premise-I
people	Premise-I
.	Premise-I
They	Premise-I
have	Premise-I
a	Premise-I
100%	Premise-I
college	Premise-I
acceptance	Premise-I
rate	Premise-I
!	Premise-I
That	Premise-I
'	Premise-I
s	Premise-I
unheard	Premise-I
of	Premise-I
in	Premise-I
public	Premise-I
schools	Premise-I
.	Premise-I
So	O
you	O
won	O
'	O
t	O
get	O
your	O
undies	O
in	O
a	O
bunch	O
,	O
the	O
young	O
people	O
graduating	O
from	O
this	O
school	O
are	O
from	O
accross	O
the	O
race	O
spectrum	O
.	O
I	O
'	O
m	O
talking	O
black	O
,	O
white	O
,	O
brown	O
,	O
asian	O
,	O
oriental	O
,	O
you	O
name	O
it	O
they	O
'	O
ve	O
got	O
it	O
.	O
All	O
you	O
commies	O
out	O
there	O
can	O
shove	O
it	O
right	O
up	O
your	O
A$$	O
!	O
