My	Premise-B
wife	Premise-I
and	Premise-I
I	Premise-I
also	Premise-I
wanted	Premise-I
our	Premise-I
daughter	Premise-I
to	Premise-I
receive	Premise-I
an	Premise-I
education	Premise-I
in	Premise-I
Christ	Premise-I
and	Premise-I
that	Premise-I
'	Premise-I
s	Premise-I
a	Premise-I
big	Premise-I
reason	Premise-I
we	Premise-I
sent	Premise-I
her	Premise-I
to	Premise-I
Christian	Premise-I
private	Premise-I
school	Premise-I
.	Premise-I
Public	Premise-I
schools	Premise-I
have	Premise-I
kicked	Premise-I
prayer	Premise-I
and	Premise-I
Christ	Premise-I
out	Premise-I
and	Premise-I
now	Premise-I
their	Premise-I
working	Premise-I
on	Premise-I
the	Premise-I
pledge	Premise-I
of	Premise-I
allegiance	Premise-I
.	Premise-I
What	O
’	O
s	O
next	O
?	O
Really	O
I	O
'	O
m	O
bad	O
because	O
I	O
want	O
my	O
daughter	O
to	O
know	O
Christ	O
.	O
