I	Premise-B
too	Premise-I
believed	Premise-I
that	Premise-I
out	Premise-I
nation	Premise-I
is	Premise-I
under	Premise-I
a	Premise-I
great	Premise-I
fall	Premise-I
due	Premise-I
taking	Premise-I
prayer	Premise-I
out	Premise-I
of	Premise-I
schools	Premise-I
and	Premise-I
attempting	Premise-I
to	Premise-I
take	Premise-I
God	Premise-I
out	Premise-I
of	Premise-I
everything	Premise-I
we	Premise-I
do	Premise-I
.	Premise-I
Our	O
country	O
has	O
lost	O
morales	O
and	O
respect	O
for	O
God	O
.	O
This	O
country	O
in	O
now	O
the	O
most	O
liberal	O
county	O
,	O
we	O
allow	O
everything	O
to	O
go	O
.	O
After	O
all	O
that	O
God	O
has	O
done	O
to	O
make	O
this	O
the	O
richest	O
land	O
ever	O
,	O
this	O
is	O
how	O
we	O
show	O
our	O
thanks	O
.	O
But	O
do	O
remember	O
–	O
God	O
is	O
not	O
mocked	O
.	O
Every	O
knee	O
shall	O
bow	O
,	O
and	O
every	O
tongue	O
will	O
confess	O
the	O
Jesus	O
Christ	O
is	O
Lord	O
.	O
There	O
will	O
be	O
reprecusions	O
for	O
the	O
choices	O
that	O
have	O
been	O
made	O
without	O
God	O
.	O
