Ours	Premise-B
will	Premise-I
be	Premise-I
that	Premise-I
the	Premise-I
State	Premise-I
Education	Premise-I
system	Premise-I
is	Premise-I
totally	Premise-I
ruined	Premise-I
,	Premise-I
due	Premise-I
to	Premise-I
many	Premise-I
years	Premise-I
of	Premise-I
being	Premise-I
systematically	Premise-I
abused	Premise-I
by	Premise-I
left-wingers	Premise-I
.	Premise-I
I	Claim-B
wouldn	Claim-I
'	Claim-I
t	Claim-I
trust	Claim-I
a	Claim-I
state	Claim-I
school	Claim-I
to	Claim-I
train	Claim-I
a	Claim-I
dog	Claim-I
,	Claim-I
much	Claim-I
less	Claim-I
raise	Claim-I
a	Claim-I
child	Claim-I
.	Claim-I
