In	Premise-B
a	Premise-I
rough	Premise-I
analogy	Premise-I
to	Premise-I
monocultural	Premise-I
farming	Premise-I
,	Premise-I
I	Premise-I
think	Premise-I
than	Premise-I
any	Premise-I
highly	Premise-I
homogeneous	Premise-I
group	Premise-I
of	Premise-I
people	Premise-I
,	Premise-I
while	Premise-I
it	Premise-I
offers	Premise-I
certain	Premise-I
efficiencies	Premise-I
,	Premise-I
is	Premise-I
inherently	Premise-I
pathology	Premise-I
prone	Premise-I
.	Premise-I
Diversity	Premise-I
damps	Premise-I
extremes	Premise-I
of	Premise-I
outlook	Premise-I
,	Premise-I
need	Premise-I
and	Premise-I
behavior	Premise-I
.	Premise-I
Ideally	Claim-B
,	Claim-I
I	Claim-I
don	Claim-I
’	Claim-I
t	Claim-I
think	Claim-I
school	Claim-I
children	Claim-I
should	Claim-I
spend	Claim-I
as	Claim-I
much	Claim-I
time	Claim-I
as	Claim-I
they	Claim-I
usually	Claim-I
do	Claim-I
isolated	Claim-I
by	Claim-I
age	Claim-I
,	Claim-I
let	Claim-I
alone	Claim-I
sex	Claim-I
.	Claim-I
The	Backing-B
unhealthiest	Backing-I
social	Backing-I
situations	Backing-I
I	Backing-I
was	Backing-I
ever	Backing-I
in	Backing-I
were	Backing-I
an	Backing-I
all-boys	Backing-I
school	Backing-I
and	Backing-I
military	Backing-I
training	Backing-I
.	Backing-I
