The	Premise-B
bible	Premise-I
says	Premise-I
to	Premise-I
pray	Premise-I
in	Premise-I
private	Premise-I
.	Premise-I
It	Premise-I
also	Premise-I
says	Premise-I
to	Premise-I
not	Premise-I
use	Premise-I
God	Premise-I
'	Premise-I
s	Premise-I
name	Premise-I
in	Premise-I
vain	Premise-I
.	Premise-I
It	O
'	O
s	O
ironic	O
that	O
it	O
is	O
viewed	O
as	O
anti-christian	O
to	O
not	O
want	O
prayer	O
at	O
school	O
and	O
in	O
public	O
venues	O
,	O
to	O
not	O
want	O
"	O
In	O
God	O
We	O
Trust	O
"	O
on	O
our	O
money	O
,	O
and	O
to	O
not	O
want	O
"	O
One	O
nation	O
under	O
God	O
"	O
in	O
the	O
pledge	O
of	O
allegiance	O
because	O
we	O
really	O
haven	O
'	O
t	O
earned	O
that	O
claim	O
.	O
Funny	O
I	O
really	O
could	O
care	O
less	O
if	O
people	O
are	O
offended	O
by	O
these	O
things	O
,	O
but	O
I	O
am	O
quite	O
concerned	O
that	O
God	O
might	O
be	O
.	O
As	Claim-B
far	Claim-I
as	Claim-I
prayer	Claim-I
in	Claim-I
school	Claim-I
,	Claim-I
I	Claim-I
think	Claim-I
a	Claim-I
moment	Claim-I
of	Claim-I
silence	Claim-I
to	Claim-I
allow	Claim-I
a	Claim-I
private	Claim-I
prayer	Claim-I
of	Claim-I
any	Claim-I
type	Claim-I
for	Claim-I
anyone	Claim-I
who	Claim-I
wishes	Claim-I
to	Claim-I
give	Claim-I
such	Claim-I
is	Claim-I
most	Claim-I
appropiate	Claim-I
.	Claim-I
