My	Claim-B
child	Claim-I
went	Claim-I
to	Claim-I
a	Claim-I
private	Claim-I
all	Claim-I
boys	Claim-I
school	Claim-I
and	Claim-I
it	Claim-I
was	Claim-I
the	Claim-I
best	Claim-I
thing	Claim-I
I	Claim-I
ever	Claim-I
did	Claim-I
!	Claim-I
He	Premise-B
went	Premise-I
in	Premise-I
a	Premise-I
boy	Premise-I
and	Premise-I
came	Premise-I
out	Premise-I
a	Premise-I
god-loving	Premise-I
man	Premise-I
of	Premise-I
character	Premise-I
!	Premise-I
I	Premise-B
believe	Premise-I
a	Premise-I
more	Premise-I
disciplined	Premise-I
school	Premise-I
in	Premise-I
the	Premise-I
formative	Premise-I
teenage	Premise-I
years	Premise-I
pays	Premise-I
off	Premise-I
when	Premise-I
the	Premise-I
child	Premise-I
matures	Premise-I
.	Premise-I
In	Premise-I
public	Premise-I
school	Premise-I
,	Premise-I
the	Premise-I
parents	Premise-I
nor	Premise-I
the	Premise-I
teachers	Premise-I
have	Premise-I
too	Premise-I
much	Premise-I
say	Premise-I
in	Premise-I
the	Premise-I
government	Premise-I
run	Premise-I
institutions	Premise-I
!	Premise-I
