"	O
.	O
.	O
.	O
After	O
all	O
,	O
it	O
’	O
s	O
usually	O
the	O
parents	O
who	O
rise	O
up	O
to	O
make	O
changes	O
to	O
the	O
system	O
.	O
.	O
"	O
I	Premise-B
rose	Premise-I
up	Premise-I
to	Premise-I
make	Premise-I
changes	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
rose	Premise-I
up	Premise-I
to	Premise-I
my	Premise-I
feet	Premise-I
and	Premise-I
walked	Premise-I
my	Premise-I
family	Premise-I
the	Premise-I
hell	Premise-I
out	Premise-I
of	Premise-I
a	Premise-I
corrupt	Premise-I
,	Premise-I
unsafe	Premise-I
,	Premise-I
government	Premise-I
battle	Premise-I
ground	Premise-I
and	Premise-I
into	Premise-I
the	Premise-I
Private	Premise-I
Catholic	Premise-I
school	Premise-I
system	Premise-I
.	Premise-I
I	Claim-B
wouldn	Claim-I
'	Claim-I
t	Claim-I
send	Claim-I
my	Claim-I
dog	Claim-I
to	Claim-I
public	Claim-I
schools	Claim-I
in	Claim-I
Florida	Claim-I
.	Claim-I
