There	Claim-B
should	Claim-I
NOT	Claim-I
be	Claim-I
any	Claim-I
praying	Claim-I
in	Claim-I
school	Claim-I
.	Claim-I
Praying	Premise-B
is	Premise-I
a	Premise-I
home	Premise-I
thing	Premise-I
,	Premise-I
or	Premise-I
a	Premise-I
church	Premise-I
,	Premise-I
temple	Premise-I
,	Premise-I
synagogue	Premise-I
or	Premise-I
what	Premise-I
have	Premise-I
you	Premise-I
exercise	Premise-I
.	Premise-I
Prayer	Premise-B
is	Premise-I
not	Premise-I
for	Premise-I
public	Premise-I
consumption	Premise-I
.	Premise-I
Our	O
esteemed	O
government	O
should	O
also	O
change	O
the	O
words	O
of	O
the	O
national	O
anthem	O
to	O
eliminate	O
the	O
sentence	O
that	O
is	O
a	O
prayer	O
.	O
Canada	Premise-B
is	Premise-I
a	Premise-I
secular	Premise-I
nation	Premise-I
.	Premise-I
Let	O
'	O
s	O
keep	O
it	O
that	O
way	O
.	O
