I	Backing-B
have	Backing-I
three	Backing-I
children	Backing-I
with	Backing-I
kid	Backing-I
'	Backing-I
s	Backing-I
of	Backing-I
the	Backing-I
their	Backing-I
own	Backing-I
,	Backing-I
one	Backing-I
moved	Backing-I
to	Backing-I
be	Backing-I
able	Backing-I
to	Backing-I
send	Backing-I
his	Backing-I
kids	Backing-I
to	Backing-I
a	Backing-I
private	Backing-I
school	Backing-I
,	Backing-I
the	Backing-I
other	Backing-I
home	Backing-I
school	Backing-I
'	Backing-I
s	Backing-I
her	Backing-I
children	Backing-I
,	Backing-I
while	Backing-I
my	Backing-I
other	Backing-I
children	Backing-I
still	Backing-I
go	Backing-I
to	Backing-I
a	Backing-I
public	Backing-I
school	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
but	Backing-I
they	Backing-I
'	Backing-I
re	Backing-I
father	Backing-I
is	Backing-I
a	Backing-I
teacher	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
.	Backing-I
thank	Backing-I
God	Backing-I
!	Backing-I
!	Backing-I
public	Claim-B
education	Claim-I
is	Claim-I
for	Claim-I
the	Claim-I
most	Claim-I
part	Claim-I
terrible	Claim-I
,	Claim-I
and	Premise-B
it	Premise-I
'	Premise-I
s	Premise-I
too	Premise-I
bad	Premise-I
that	Premise-I
our	Premise-I
government	Premise-I
had	Premise-I
to	Premise-I
step	Premise-I
in	Premise-I
and	Premise-I
ruin	Premise-I
what	Premise-I
was	Premise-I
working	Premise-I
!	Premise-I
!	Premise-I
maybe	O
someday	O
we	O
'	O
ll	O
elect	O
official	O
'	O
s	O
that	O
give	O
the	O
people	O
what	O
they	O
really	O
want	O
,	O
instead	O
of	O
slamming	O
they	O
'	O
re	O
own	O
agenda	O
'	O
s	O
down	O
our	O
throat	O
!	O
!	O
!	O
