my	Backing-B
granddaughter	Backing-I
just	Backing-I
graduated	Backing-I
from	Backing-I
public	Backing-I
school	Backing-I
with	Backing-I
a	Backing-I
4	Backing-I
.	Backing-I
grade	Backing-I
average	Backing-I
.	Backing-I
she	Backing-I
asked	Backing-I
me	Backing-I
what	Backing-I
time	Backing-I
it	Backing-I
was	Backing-I
once	Backing-I
and	Backing-I
I	Backing-I
"	Backing-I
quarter	Backing-I
after	Backing-I
two	Backing-I
"	Backing-I
she	Backing-I
had	Backing-I
no	Backing-I
idea	Backing-I
what	Backing-I
that	Backing-I
meant	Backing-I
.	Backing-I
she	Backing-I
thinks	Backing-I
26%	Backing-I
for	Backing-I
a	Backing-I
credit	Backing-I
card	Backing-I
is	Backing-I
a	Backing-I
good	Backing-I
deal	Backing-I
,	Backing-I
and	Backing-I
had	Backing-I
no	Backing-I
idea	Backing-I
what	Backing-I
nuclear	Backing-I
energy	Backing-I
is	Backing-I
she	Backing-I
has	Backing-I
no	Backing-I
idea	Backing-I
of	Backing-I
how	Backing-I
the	Backing-I
federal	Backing-I
government	Backing-I
works	Backing-I
or	Backing-I
even	Backing-I
whos	Backing-I
in	Backing-I
it	Backing-I
.	Backing-I
ask	Backing-I
her	Backing-I
where	Backing-I
electricity	Backing-I
comes	Backing-I
from	Backing-I
and	Backing-I
she	Backing-I
points	Backing-I
to	Backing-I
the	Backing-I
wall	Backing-I
.	Backing-I
shes	Backing-I
not	Backing-I
stupid	Backing-I
shes	Backing-I
just	Backing-I
not	Backing-I
educated	Backing-I
if	Claim-B
I	Claim-I
had	Claim-I
the	Claim-I
money	Claim-I
I	Claim-I
would	Claim-I
have	Claim-I
sent	Claim-I
her	Claim-I
to	Claim-I
a	Claim-I
private	Claim-I
school	Claim-I
in	Claim-I
a	Claim-I
heartbeat	Claim-I
