If	Rebuttal-B
Mom	Rebuttal-I
and	Rebuttal-I
Dad	Rebuttal-I
feel	Rebuttal-I
they	Rebuttal-I
are	Rebuttal-I
equipped	Rebuttal-I
to	Rebuttal-I
home	Rebuttal-I
school	Rebuttal-I
their	Rebuttal-I
children	Rebuttal-I
,	Rebuttal-I
so	Rebuttal-I
be	Rebuttal-I
it	Rebuttal-I
.	Rebuttal-I
But	Premise-B
religious	Premise-I
zealotry	Premise-I
is	Premise-I
no	Premise-I
excuse	Premise-I
for	Premise-I
raising	Premise-I
a	Premise-I
kid	Premise-I
devoid	Premise-I
of	Premise-I
a	Premise-I
proper	Premise-I
education	Premise-I
.	Premise-I
It	Premise-I
'	Premise-I
s	Premise-I
the	Premise-I
same	Premise-I
as	Premise-I
denying	Premise-I
a	Premise-I
sick	Premise-I
child	Premise-I
medicine	Premise-I
because	Premise-I
it	Premise-I
offends	Premise-I
the	Premise-I
parents	Premise-I
religious	Premise-I
beliefs	Premise-I
.	Premise-I
This	O
is	O
Poppycock	O
!	O
