If	Premise-B
my	Premise-I
daughters	Premise-I
can	Premise-I
be	Premise-I
in	Premise-I
an	Premise-I
environment	Premise-I
that	Premise-I
celebrates	Premise-I
girls	Premise-I
as	Premise-I
intelligent	Premise-I
,	Premise-I
creative	Premise-I
individuals	Premise-I
,	Premise-I
without	Premise-I
the	Premise-I
boy	Premise-I
craziness	Premise-I
(	Premise-I
and	Premise-I
reducing	Premise-I
of	Premise-I
one	Premise-I
'	Premise-I
s	Premise-I
self	Premise-I
to	Premise-I
something	Premise-I
befitting	Premise-I
a	Premise-I
boy	Premise-I
'	Premise-I
s	Premise-I
attention	Premise-I
)	Premise-I
,	Premise-I
than	Premise-I
I	Premise-I
will	Premise-I
take	Premise-I
it	Premise-I
.	Premise-I
