Go	Backing-B
on	Backing-I
Netflix	Backing-I
and	Backing-I
watch	Backing-I
"	Backing-I
Waiting	Backing-I
for	Backing-I
Superman	Backing-I
"	Backing-I
.	Backing-I
Quite	Backing-I
the	Backing-I
eye	Backing-I
opener	Backing-I
.	Backing-I
It	Backing-I
'	Backing-I
s	Backing-I
not	Backing-I
uncommon	Backing-I
for	Backing-I
public	Backing-I
school	Backing-I
teachers	Backing-I
to	Backing-I
send	Backing-I
their	Backing-I
own	Backing-I
kids	Backing-I
to	Backing-I
private	Backing-I
schools	Backing-I
.	Backing-I
What	Backing-I
does	Backing-I
that	Backing-I
tell	Backing-I
ya	Backing-I
about	Backing-I
are	Backing-I
public	Backing-I
school	Backing-I
system	Backing-I
?	Backing-I
In	Backing-I
this	Backing-I
documentary	Backing-I
the	Backing-I
superintendent	Backing-I
of	Backing-I
schools	Backing-I
in	Backing-I
Washington	Backing-I
DC	Backing-I
offered	Backing-I
to	Backing-I
double	Backing-I
teachers	Backing-I
salaries	Backing-I
if	Backing-I
they	Backing-I
were	Backing-I
willing	Backing-I
to	Backing-I
give	Backing-I
up	Backing-I
their	Backing-I
tenure	Backing-I
and	Backing-I
get	Backing-I
out	Backing-I
of	Backing-I
the	Backing-I
teacher	Backing-I
'	Backing-I
s	Backing-I
union	Backing-I
.	Backing-I
(	Backing-I
Teachers	Backing-I
get	Backing-I
tenure	Backing-I
after	Backing-I
only	Backing-I
2	Backing-I
years	Backing-I
of	Backing-I
teaching	Backing-I
which	Backing-I
makes	Backing-I
it	Backing-I
virtually	Backing-I
impossible	Backing-I
to	Backing-I
fire	Backing-I
them	Backing-I
for	Backing-I
any	Backing-I
reason	Backing-I
.	Backing-I
)	Backing-I
They	Backing-I
could	Backing-I
choose	Backing-I
to	Backing-I
stay	Backing-I
tenured	Backing-I
and	Backing-I
keep	Backing-I
their	Backing-I
salary	Backing-I
or	Backing-I
give	Backing-I
it	Backing-I
up	Backing-I
and	Backing-I
double	Backing-I
their	Backing-I
salary	Backing-I
.	Backing-I
The	Backing-I
teacher	Backing-I
'	Backing-I
s	Backing-I
union	Backing-I
refused	Backing-I
to	Backing-I
allow	Backing-I
it	Backing-I
to	Backing-I
be	Backing-I
voted	Backing-I
on	Backing-I
by	Backing-I
the	Backing-I
teachers	Backing-I
.	Backing-I
This	Backing-I
superintendent	Backing-I
was	Backing-I
trying	Backing-I
every	Backing-I
possible	Backing-I
way	Backing-I
to	Backing-I
improve	Backing-I
the	Backing-I
children	Backing-I
'	Backing-I
s	Backing-I
education	Backing-I
and	Backing-I
the	Backing-I
union	Backing-I
shot	Backing-I
it	Backing-I
down	Backing-I
.	Backing-I
If	Claim-B
you	Claim-I
can	Claim-I
afford	Claim-I
to	Claim-I
send	Claim-I
your	Claim-I
kids	Claim-I
to	Claim-I
a	Claim-I
private	Claim-I
school	Claim-I
or	Claim-I
if	Claim-I
you	Claim-I
can	Claim-I
get	Claim-I
them	Claim-I
into	Claim-I
a	Claim-I
charter	Claim-I
school	Claim-I
do	Claim-I
it	Claim-I
.	Claim-I
Public	Premise-B
schools	Premise-I
are	Premise-I
not	Premise-I
going	Premise-I
to	Premise-I
change	Premise-I
even	Premise-I
if	Premise-I
you	Premise-I
and	Premise-I
every	Premise-I
other	Premise-I
parent	Premise-I
went	Premise-I
up	Premise-I
there	Premise-I
and	Premise-I
complained	Premise-I
everyday	Premise-I
because	Premise-I
the	Premise-I
unions	Premise-I
won	Premise-I
'	Premise-I
t	Premise-I
allow	Premise-I
it	Premise-I
.	Premise-I
