If	Claim-B
you	Claim-I
can	Claim-I
afford	Claim-I
to	Claim-I
send	Claim-I
your	Claim-I
kids	Claim-I
to	Claim-I
private	Claim-I
schools	Claim-I
do	Claim-I
.	Claim-I
Most	Premise-B
public	Premise-I
schools	Premise-I
especially	Premise-I
those	Premise-I
that	Premise-I
are	Premise-I
intercity	Premise-I
are	Premise-I
not	Premise-I
good	Premise-I
.	Premise-I
My	Backing-B
son	Backing-I
went	Backing-I
to	Backing-I
Columbus	Backing-I
Public	Backing-I
Schools	Backing-I
,	Backing-I
in	Backing-I
Columbus	Backing-I
,	Backing-I
Ohio	Backing-I
and	Backing-I
they	Backing-I
treated	Backing-I
him	Backing-I
and	Backing-I
myself	Backing-I
badly	Backing-I
.	Backing-I
I	Backing-I
was	Backing-I
constantly	Backing-I
in	Backing-I
the	Backing-I
school	Backing-I
and	Backing-I
very	Backing-I
involved	Backing-I
in	Backing-I
his	Backing-I
education	Backing-I
.	Backing-I
It	Backing-I
made	Backing-I
no	Backing-I
difference	Backing-I
.	Backing-I
They	Backing-I
didn	Backing-I
'	Backing-I
t	Backing-I
want	Backing-I
my	Backing-I
help	Backing-I
or	Backing-I
my	Backing-I
commitment	Backing-I
to	Backing-I
the	Backing-I
school	Backing-I
.	Backing-I
I	Backing-I
moved	Backing-I
to	Backing-I
the	Backing-I
suburbs	Backing-I
and	Backing-I
the	Backing-I
education	Backing-I
in	Backing-I
our	Backing-I
suburban	Backing-I
public	Backing-I
schools	Backing-I
are	Backing-I
good	Backing-I
the	Backing-I
teachers	Backing-I
were	Backing-I
better	Backing-I
and	Backing-I
they	Backing-I
appreciated	Backing-I
my	Backing-I
involvement	Backing-I
.	Backing-I
I	O
wish	O
I	O
had	O
moved	O
sooner	O
,	O
but	O
if	O
I	O
could	O
have	O
afforded	O
private	O
school	O
my	O
son	O
would	O
have	O
gone	O
.	O
So	O
in	O
Columbus	O
,	O
Ohio	O
if	O
you	O
can	O
'	O
t	O
afford	O
private	O
school	O
move	O
to	O
the	O
suburbs	O
.	O
I	O
also	O
agree	O
God	O
should	O
have	O
never	O
came	O
out	O
of	O
the	O
schools	O
.	O
