Nobody	Claim-B
needs	Claim-I
to	Claim-I
be	Claim-I
practicing	Claim-I
religion	Claim-I
at	Claim-I
a	Claim-I
public	Claim-I
school	Claim-I
.	Claim-I
The	Premise-B
whole	Premise-I
point	Premise-I
is	Premise-I
to	Premise-I
separate	Premise-I
education	Premise-I
from	Premise-I
religion	Premise-I
.	Premise-I
If	Premise-B
you	Premise-I
want	Premise-I
your	Premise-I
kid	Premise-I
learning	Premise-I
and	Premise-I
praying	Premise-I
in	Premise-I
the	Premise-I
same	Premise-I
place	Premise-I
then	Premise-I
send	Premise-I
them	Premise-I
to	Premise-I
a	Premise-I
religious	Premise-I
school	Premise-I
.	Premise-I
